GeneID	Myers_H1-hESC_cell_2x75_200_1	Myers_H1-hESC_cell_2x75_200_2	Myers_HUVEC_cell_2x75_200_1	Myers_HUVEC_cell_2x75_200_2
100287102	3	5	18	6
653635	533	577	454	419
102466751	17	16	10	11
107985730	6	7	0	0
100302278	1	0	0	0
645520	7	6	0	0
79501	0	0	0	0
100996442	121	106	36	22
729737	2280	1947	162	51
102725121	2	0	20	12
102723897	626	724	484	447
102465909	12	12	7	8
107985721	7	9	0	1
112268260	3	2	8	8
729759	0	0	0	1
100132287	1397	1312	113	50
105378947	1	1	1	3
101928626	0	0	0	1
113219467	1613	7091	8133	20495
81399	7	2	5	6
100133331	980	986	155	67
107984841	281	237	38	16
107984847	508	573	82	33
107984849	191	151	15	5
100288069	167	174	48	30
105378580	30	8	28	15
400728	8	4	6	7
79854	29	24	26	19
643837	451	399	505	284
107984850	0	2	0	0
284593	1	0	2	1
284600	128	122	56	37
100130417	51	59	1	11
107985728	8	5	1	0
148398	486	495	341	159
26155	7006	7169	5103	2553
339451	1302	1529	803	688
84069	79	106	120	104
84808	11	16	21	11
57801	40	60	231	404
9636	481	669	1134	893
375790	15967	16031	14222	17805
100288175	15	24	13	8
112267874	23	17	4	2
105378948	37	57	13	6
401934	3	2	0	0
54991	495	473	431	318
254099	5	12	0	0
406984	2	3	0	0
406983	1	0	0	0
554210	10	2	0	0
100506376	26	23	1	0
254173	49	54	0	0
8784	43	49	4	2
7293	5	3	34	43
51150	3491	3809	8136	6591
126792	793	892	1397	860
388581	64	75	23	13
118424	1874	1910	2405	1455
101928895	82	99	53	30
6339	213	259	91	70
116983	2515	2324	2144	1706
102465434	1	0	0	0
109623456	21	13	11	7
126789	1003	1099	441	317
54973	4755	5513	3628	2667
102465435	13	9	3	2
80772	432	446	783	662
83756	35	44	45	26
1855	3270	3570	1521	1429
102466740	13	9	5	6
54587	482	551	45	29
54998	2686	3181	2209	1495
81669	5318	5135	6408	4999
148413	1205	1276	690	396
55052	2520	2828	2814	1391
107984868	9	10	0	0
441869	150	151	3	8
105378585	40	47	0	2
643965	73	46	0	0
102724312	64	71	1	0
107985729	55	49	1	0
64856	1695	1800	57	60
219293	423	368	81	47
83858	2945	3129	1784	1059
55210	3106	3375	2417	1304
339453	87	150	69	99
29101	3962	4493	4500	2709
643988	788	1070	81	39
105378586	65	67	7	3
142678	2004	2012	977	1018
8510	189	226	40	31
984	3140	3325	2483	1555
728661	4210	3803	3219	2130
8511	77	128	4	8
728642	2224	2167	1697	1154
9906	1954	1882	2043	1182
112268218	288	285	214	181
65220	4127	3880	3352	2072
2782	14762	17145	27996	18522
105378949	14	26	14	6
163688	90	73	26	8
339456	261	328	20	11
85452	21	17	0	0
107984872	3	4	0	0
105378589	26	22	0	0
2563	94	108	0	0
105378590	8	10	0	0
105378591	4	1	0	0
5590	2031	2295	108	85
100506504	134	167	17	14
199990	1777	1974	926	845
112268219	279	289	114	81
105378593	13	12	5	3
6497	4680	4382	3829	2804
79906	206	286	91	68
100129534	78	75	20	30
11079	2586	2843	4743	3109
5192	1028	1097	999	670
9651	37	31	83	75
55229	1069	1134	1032	724
388585	5	10	0	0
115110	2	2	253	128
8764	3	5	1099	670
100996583	0	0	1	5
127281	2061	2466	2765	1996
79258	361	409	391	218
105378597	12	12	0	0
100287898	37	49	15	8
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	1	1	0	0
107984904	0	0	0	0
105378599	1	0	0	0
140625	0	0	0	0
440556	0	1	0	0
63976	48	47	0	0
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	0
105378605	0	0	0	0
105378604	2	7	0	3
27237	1091	1079	31	38
1953	2207	2096	4150	4894
105378608	2	4	3	1
693135	0	0	0	0
105378607	1	4	0	0
127262	1182	1377	3364	2693
49856	1202	1070	857	560
7161	306	372	8	9
105378610	1	0	0	0
105378609	4	1	0	0
57212	3171	2877	1369	990
148870	27	57	1	0
388588	28	63	8	12
57470	3821	3705	1936	1275
9731	1031	989	2014	1237
1677	444	388	464	263
107984910	14	5	5	4
339448	978	1036	1082	674
100133612	35	25	3	1
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0	1
105376679	0	0	0	0
107985376	0	0	0	0
55966	310	331	0	0
105376680	0	0	0	0
102724429	1	0	0	0
105376681	2	3	0	0
105376682	2	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	0	0	0	0
261734	999	918	747	661
8514	478	543	225	278
26038	173	305	13	8
105376687	2	1	0	0
6146	14613	19678	18465	14868
107985733	199	122	189	123
102724450	11	17	11	7
388591	240	231	391	247
23463	6911	6558	5767	2677
148645	179	251	9	4
390992	1136	1256	0	0
387509	754	959	469	439
11332	5327	6104	3103	2107
54626	30	28	947	202
83715	451	669	106	53
100422975	2	0	0	0
8718	494	584	855	673
57449	1679	2106	4309	3177
79707	1265	1218	1209	591
80835	3	10	0	1
107984912	1	0	0	0
3104	766	870	457	306
9903	1679	1581	1939	1343
107984913	10	7	13	7
148479	2419	2725	924	695
90326	1117	1248	903	557
55735	4218	4084	3153	1776
100505887	0	0	0	0
110841581	25	11	10	3
23261	1347	1453	1117	994
105376692	0	2	0	0
102725193	0	0	0	0
101928836	2	1	0	2
105376691	0	0	0	0
105376689	111	139	8	16
9341	1060	1103	7516	4936
8863	448	732	139	61
10911	0	2	0	0
3604	0	3	10	16
11315	7092	7880	8163	5025
54206	1634	1221	2873	2166
107984915	0	0	1	0
102724539	0	0	0	0
105376695	0	0	0	0
50651	94	112	76	64
473	8135	7408	6337	4256
102724552	0	2	3	1
106632271	0	0	0	1
2023	95626	104493	92131	40405
102465436	9	6	2	2
100505975	10	7	5	2
112268261	1	0	1	1
765	0	0	0	0
155184	3	0	0	0
6518	7	6	0	0
80045	160	184	461	291
106614088	971	708	941	540
